J. WALTER THOMPSON	84436	1122
JEWISH LADS & GIRLS BRIGADE	188002	1123
JFD LTD	284562.48	1124
JIGSAW RESEARCH LTD	480522.02	1125
JIGSAW SYSTEMS LTD	94725.22	1126
JIVE SOFTWARE INC	332562	1127
JLL	1802189	1128
JLL (Aberdeen Standard)	162593.81	1129
JLL (LIM)	1293555.58	1130
JLL - AMAS Ltd (LIM/Rent Ac)	4750844.70	1131
JOBVITE INC [GROUPED]	53479.97	1132
JOHN PINCOTT CONSULT	89783	1133
JOHNSON & LUBBOCK PARTNERS LTD	126084	1134
JONES LANG LASALLE LTD [GROUPED]	10402479.05	1135
Jacobs UK Ltd [GROUPED]	82097.85	1136
Joseph King (Norfolk) Coordination Ltd [GROUPED]	4358452.80	1137
Jumar Solutions Ltd	75240	1138
THE JOIN IN TRUST	8636992	2024
