NATIONAL ARCHIVES	789818.68	1322
NATIONAL ASSOCIATION FOR VOLUNTARYAND COMMUNITY ACTION	115000	1323
NATIONAL ASSOCIATION OF CLUBS FOR YOUNG PEOPLE	27000	1324
NATIONAL ASSOCIATION OF MANAGERS OF STUDENT SERVICES	60000	1325
NATIONAL AUDIT OFFIC	157036	1326
NATIONAL AUDIT OFFICE	302200	1327
NATIONAL BIODIVERSITY NETWORK TRUST	248624	1328
NATIONAL CENTRE FOR SOCIAL RESEARCH	1181221.92	1329
NATIONAL CITIZEN SERVICE	41476033	1330
NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS	2124874	1331
NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES	271578	1332
NATIONAL COUNTER TERRORISM POLICING HQ	533940	1333
NATIONAL FRAUD INTELLIGENCE BUREAU	400000	1334
NATIONAL POLICING IMPROVEMENT AGENCY	64872.62	1335
NATIONAL SCHOOL OF GOVERNMENT	791116.80	1336
NATIONAL UNION OF STUDENTS OF THE UK	380000	1337
NATIONAL WESTMINSTER BANK PLC	78839.93	1338
NATIONAL WESTMINSTER BANK PLC (4715059005000009)	241299.44	1339
NATIONAL YOUTH AGENCY	1593462	1340
NAVCA	1044696	1341
NB REAL ESTATE	1396855.80	1342
NCC GROUP SECURITY SERVICES LTD	138036.09	1343
NCC SERVICES LTD	115301	1344
NCS TRUST CIC	367954149	1345
NCSC UK KPA	76424	1346
NCVO	4629081.48	1347
NCVYS	400318	1348
NEATH PORT TALBOT COUNTY BOROUGH COUNCIL	487366.36	1349
NESTA	22786943	1350
NET SQUARE SOLUTIONS LTD	88125	1351
NETJET	54935.65	1352
NEW BAMBOO WEB DEVELOPMENT LTD	263925	1353
NEW COLLEGE NOTTINGHAM	4261069.71	1354
NEW ECONOMICS FOUNDATION	193280	1355
NEW ECONOMICS FOUNDATION NEF	62425	1356
NEW ECONOMY	330000	1357
NEW FOREST DISTRICT COUNCIL	316876.05	1358
NEW PHILANTHROPHY CAPITAL	50000	1359
NEW PHILANTHROPY CAPITAL	180000	1360
NEWARK & SHERWOOD DISTRICT COUNCIL	231142.75	1361
NEWCASTLE CITY COUNCIL	2255605.29	1362
NEWCASTLE UNDER LYME BOROUGH COUNCIL	406374.21	1363
NEWPORT CITY COUNCIL	302756.30	1364
NHS NEWCASTLE GATESHEAD CCG	347550	1365
NINIAN SOLUTIONS LTD	37389.68	1366
NLA NEWS PAPER LICENSING AGENCY	143807.38	1367
NOMINET UK	9249128.50	1368
NORFOLK COUNTY COUNCIL	1292000	1369
NORMAN LEWIS OFFICE FURNITURE	29973.60	1370
NORTH DEVON DISTRICT COUNCIL	151802.25	1371
NORTH DORSET DISTRICT COUNCIL	111571.50	1372
NORTH EAST DERBYSHIRE DISTRICT COUNCIL	116243.25	1373
NORTH EAST LINCOLNSHIRE COUNCIL	347218.36	1374
NORTH HERTFORDSHIRE DISTRICT COUNCIL	216367.52	1375
NORTH HIGHLAND LTD	1147937.78	1376
NORTH KESTEVEN DISTRICT COUNCIL	300341.99	1377
NORTH LINCOLNSHIRE COUNCIL	278743.45	1378
NORTH NORFOLK DISTRICT COUNCIL	376728.04	1379
NORTH SOMERSET COUNCIL	937366.28	1380
NORTH TYNESIDE COUNCIL	348619.13	1381
NORTH WARWICKSHIRE DISTRICT COUNCIL	167458.25	1382
NORTH WEST DEVELOPMENT AGENCY	195000	1383
NORTH WEST LEICESTERSHIRE DISTRICT COUNCIL	43616.94	1384
NORTH YORKSHIRE COUNTY COUNCIL	630000	1385
NORTHAMPTON BOROUGH COUNCIL	632765.75	1386
NORTHAMPTONSHIRE COUNCIL	126653.25	1387
NORTHAMPTONSHIRE COUNTY COUNCIL	562500	1388
NORTHERN IRELAND OFFICE	160000	1389
NORTHUMBERLAND COUNTY COUNCIL	381886.40	1390
NORWICH CITY COMMUNITY SPORTS FOUNDATION	429122	1391
NORWICH CITY COUNCIL	457637.11	1392
NOTTINGHAM CITY COUNCIL	1288906.17	1393
NOTTINGHAM TRENT UNIVERSITY	57895	1394
NQC LTD	910877.20	1395
NQC Ltd	1305350.50	1396
NRG GROUP UK LTD	509308.01	1397
NTT DATA UK LTD	3922781.80	1398
NUNEATON & BEDWORTH BOROUGH COUNCIL	278652.60	1399
NYS CORPORATE LTD	91430.22	1400
National Association for Voluntary & Community Action	141585	1401
National Association for Voluntary and Community Action	587962	1402
National Audit Office	291300	1403
National Council for Voluntary Organisations	171782.75	1404
Nelson Bostock Communications	202732.52	1405
Newman Thomson Ltd	46238	1406
Norton Rose	95336.94	1407
Nottingham City Council	28220	1408
THE NATIONAL ARCHIVES 9014	1412181.94	1886
THE NICHOLS GROUP	121080.96	1887
THE NUFFIELD TRUST	197583.51	1888
The National Council for Voluntary Organisations	1792000	1970
The North East Social Enterprise Partnership Ltd [GROUPED]	110020	1971
