WAKEFIELD  DISTRICT COUNCIL	399881	2437
WAKEFIELD DISTRICT COUNCIL	300996.87	2438
WALKER MORRIS SOLICITORS	45000	2439
WALSALL BOROUGH COUNCIL	172245.75	2440
WALSALL METROPOLITAN BOROUGH COUNCIL	420165.54	2441
WARN & CO LTD	96900	2442
WARRINGTON BOROUGH COUNCIL	356954.26	2443
WARWICK DISTRICT COUNCIL	313019.20	2444
WARWICK EVENT SERVICES LTD	30471.55	2445
WARWICKSHIRE COUNTY COUNCIL	625000	2446
WATFORD BOROUGH COUNCIL	1293969.25	2447
WAVE TRUST LTD	30381.49	2448
WAVEMAKER LTD	1917813.64	2449
WAVENEY DISTRICT COUNCIL	177523.75	2450
WAVERLEY BOROUGH COUNCIL	271170	2451
WCN	337905	2452
WEALDEN DISTRICT COUNCIL	382470.75	2453
WEALDON DISTRICT COUNCIL	91133	2454
WEB TECHNOLOGY GROUP	210036	2455
WEBER SHANDWICK	332853.10	2456
WELLINGBOROUGH BOROUGH COUNCIL	201905.65	2457
WELLINGTON COLLEGE	93128	2458
WELSH ASSEMBLY GOVERNMENT	25654.92	2459
WELWYN HATFIELD COUNCIL	61104	2460
WELWYN HATFIELD DISTRICT COUNCIL	155349.39	2461
WEST BERKSHIRE COUNCIL	446784.65	2462
WEST DEVON BOROUGH COUNCIL	78754.50	2463
WEST DORSET DISTRICT COUNCIL	275363.19	2464
WEST LANCASHIRE BOROUGH COUNCIL	264566.54	2465
WEST LINDSEY DISTRICT COUNCIL	118836	2466
WEST MIDLANDS COMBINED AUTHORITY	320000	2467
WEST MIDLANDS LIEUTENANCY	954382.75	2468
WEST OF ENGLAND MAYORAL COMBINED AUTHORITY	348290.48	2469
WEST OXFORDSHIRE DISTRICT COUNCIL	276322.75	2470
WEST SOMERSET COUNCIL	57096	2471
WEST SUFFOLK COUNCIL	142862	2472
WEST SUSSEX COUNTY COUNCIL	845000	2473
WESTMINISTER CITY COUNCIL	1952997.50	2474
WESTMINSTER CITY COUNCIL [GROUPED]	97325559.59	2475
WEWORK	2282409.87	2476
WHATUSERSDO LTD	109000	2477
WHITE RIBBON CAMPAIGN UK	37857.14	2478
WHITEHALL TV SERVICES	187113.46	2479
WIDER HAMPSHIRE	269000	2480
WIGAN COUNCIL	118295.50	2481
WIGAN METROPOLITAN BOROUGH COUNCIL	460238.94	2482
WILLIAM POLLARD & COMPANY (HOLDINGS) LTD [GROUPED]	27690	2483
WILLIAMS LEA	2517367.55	2484
WILLIAMS LEA LTD	137653.66	2485
WILTSHIRE COUNCIL	2790502.64	2486
WINCHESTER CITY COUNCIL	204542.75	2487
WINCKWORTH SHERWOOD	48022.47	2488
WIRRAL BOROUGH COUNCIL	206711.83	2489
WOKING BOROUGH COUNCIL	362282.79	2490
WOKINGHAM BOROUGH COUNCIL	668612	2491
WOKINGHAM COUNCIL	42437	2492
WOLVERHAMPTON CITY COUNCIL	680041.50	2493
WOMENS RESOURCE CENTRE	262657	2494
WORCESTER CITY COUNCIL	305094.84	2495
WORCESTERSHIRE COUNTY COUNCIL	890000	2496
WORCESTERSHIRE MEDAL SERVICE LTD	1155821.41	2497
WORDWAVE INTERNATIONAL LTD	121914.84	2498
WORKALITY CIC	700000	2499
WORKDAY LTD [GROUPED]	2412050.62	2500
WORKMAN RE HSBC BANK PENSION TRUST (UK) LTD [GROUPED]	796028.61	2501
WORTHING BOROUGH COUNCIL	161875.72	2502
WREXHAM COUNTY BOROUGH COUNCIL	237351.30	2503
WRG CREATIVE COMMUNICATIONS LTD	830663.99	2504
WRITE RESEARCH COMPANY	35750	2505
WSP UK LTD	80729.45	2506
WTG TECHNOLOGIES LTD	1200001.62	2507
WYCHAVON DISTRICT COUNCIL	294083.62	2508
WYCOMBE DISTRICT COUNCIL	559370.82	2509
WYG	9089976.75	2510
WYG Management Services Ltd [GROUPED]	35138	2511
WYRE BOROUGH COUNCIL	202068.50	2512
WYRE FOREST DISTRICT COUNCIL	248137.22	2513
Waveney Community Forum CVS Ltd	27025	2514
Weightmans LLP	30659.34	2515
West Yorkshire Combined Authority [GROUPED]	1324000	2516
Westbourne Terrace Management Services Ltd [GROUPED]	1198217.56	2517
Westmoreland Investments Ltd	140000	2518
Wiltshire Council	61264.43	2519
Women's Resource Centre	398559	2520
Workday Ltd [GROUPED]	668996	2521
Workman LLP - Central Receipts Account No 4	92500	2522
Workman re HSBC Bank Pension Trust (UK) Ltd [GROUPED]	1774316.58	2523
