2011:02PD Physically Disabled	228590.34	2075
216.00	1296	3073
20.40	61.2	1984
25.20	25.2	3465
2015:01SM Substance Misuse	2053.12	2502
2012:01HI Hearing Impairment	960	2164
271.86	543.72	3689
2012:03MH Mental Health (Except Dementia)	6145.02	2184
2802.82	2802.82	3796
2005.91	2005.91	1997
2212.14	2212.14	3142
28019.00	28019	3794
2031.84	2031.84	2894
2212.32	2212.32	3143
2828.16	19797.12	3817
2013:10D  Dementia	49710.18	2347
266.34	532.68	3635
2012:01PD Physically Disabled	330012.01	2168
2017:09MH Mental Health (Except Dementia)	28726.77	2841
2011.78	2011.78	2058
2835.00	5670	3822
2017:10PD Physically Disabled	435370.08	2853
2325.93	6977.79	3265
2390.00	2390	3336
2100.21	2100.21	2989
25854.65	25854.65	3559
2760.00	5520	3741
2941.03	2941.03	3946
2015:03FTIFrailty And/Or Temporary Illness	409181.29	2516
2017:10D  Dementia	86106.32	2846
2013:09MH Mental Health (Except Dementia)	11010.96	2343
22100.00	22100	3139
224.00	224	3166
29.90	29.9	3898
2014:09PD Physically Disabled	315055.78	2453
205.00	205	2913
2902.71	2902.71	3902
2015:09VI Visual Impairment	18615.68	2581
2520.00	35280	3499
2473.92	9895.68	3436
2015:08OV Other Vulnerable People	27288.97	2568
2082.19	6246.57	2959
2017:11MH Mental Health (Except Dementia)	26637.62	2861
2002.20	2002.2	1995
2016:11MH Mental Health (Except Dementia)	28908.88	2730
2632.68	2632.68	3603
2015:05FTIFrailty And/Or Temporary Illness	409282.68	2536
2585.42	46537.56	3556
2720.00	2720	3697
2107.34	4214.68	2996
2013:08DSLDual Sensory Loss	3780	2332
2369.68	2369.68	3308
2822.00	5644	3811
27630.00	82890	3745
2016:01LD Learning Disabilities	433718.62	2630
219.15	219.15	3105
2819.00	2819	3805
2011:09VI Visual Impairment	12792	2131
2016:05OV Other Vulnerable People	48408.4	2671
227.60	227.6	3198
2011:08LD Learning Disabilities	100032.63	2120
228.92	228.92	3211
2017:11VI Visual Impairment	16395.62	2865
23875.99	23875.99	3332
2012:03FTIFrailty And/Or Temporary Illness	154134.02	2181
2012:05PD Physically Disabled	249977.44	2203
2643.34	2643.34	3617
2476.00	2476	3441
2016:02PD Physically Disabled	377005.28	2642
2960.00	2960	3974
295319.55	295319.55	3966
2013:11PD Physically Disabled	253839.44	2361
2405.42	2405.42	3360
2014:12DSLDual Sensory Loss	8410.44	2475
2758.88	2758.88	3735
26.93	26.93	3578
2657.80	2657.8	3631
2016:06SM Substance Misuse	874.96	2683
2013:01OV Other Vulnerable People	9956	2280
23781.78	23781.78	3320
2012.10	2012.1	2159
2011:08DSLDual Sensory Loss	1660.8	2118
2012:12DSLDual Sensory Loss	1056	2260
2016:02LD Learning Disabilities	368049.99	2639
2196.24	2196.24	3114
2013:10MH Mental Health (Except Dementia)	7983.48	2351
2887.08	5774.16	3874
2017:07LD Learning Disabilities	594366.49	2820
2017:01SM Substance Misuse	1964.34	2764
2587.96	18115.72	3562
2016:10MH Mental Health (Except Dementia)	37319	2720
2.49	2.49	1969
255.30	255.3	3522
2013:07FTIFrailty And/Or Temporary Illness	118225	2325
258.60	517.2	3549
2016:01HI Hearing Impairment	645	2629
2015:12FTIFrailty And/Or Temporary Illness	380032.97	2604
258.70	258.7	3551
2029.04	2029.04	2890
2011:07VI Visual Impairment	9936	2116
2015:07FTIFrailty And/Or Temporary Illness	383089.11	2554
2015:02PD Physically Disabled	363139.44	2511
2013:13DSLDual Sensory Loss	4101.92	2372
216.28	432.56	3074
2014:08D  Dementia	87037.79	2437
2016:03SM Substance Misuse	2362.96	2653
2300.00	18400	3240
2012:13DSLDual Sensory Loss	1056	2268
2014:05OV Other Vulnerable People	8680.8	2417
2900.00	17400	3901
2015:08PD Physically Disabled	349201.82	2569
2399.85	2399.85	3345
2015:13MH Mental Health (Except Dementia)	20967.1	2617
2109.64	2109.64	3001
2015:09FTIFrailty And/Or Temporary Illness	392284.85	2574
2015:08HI Hearing Impairment	645	2565
2261.90	2261.9	3193
2015:06MH Mental Health (Except Dementia)	21351.53	2547
24222.24	24222.24	3384
26335.22	26335.22	3605
22290.00	44580	3159
2017:03LD Learning Disabilities	491170.79	2780
29742.00	29742	3983
2015:05D  Dementia	62672.3	2534
272.27	272.27	3695
2015:11OV Other Vulnerable People	40372.68	2598
28945.20	28945.2	3882
2015:11MH Mental Health (Except Dementia)	31337.75	2597
2013:11FTIFrailty And/Or Temporary Illness	135473.92	2357
2011:05FTIFrailty And/Or Temporary Illness	201738.94	2095
