D & G EDUCATIONAL LTD	1582.16	2024
D & P UPHOLSTERY	470	2025
D CLARK SECURITY LTD	850	2026
D DEANE	4000	2027
D H FUEL SERVICES LTD	3768	2028
D H HOMECARE LTD	3687043.98	2029
D HUDDART JOINERY & BUILDING	74013.54	2030
D J MCGOUGH LTD	535292.77	2031
D J RAYNOR	4650	2032
D J S AUTO ELECTRICAL SERVICES	57809.74	2033
D LINCOLN LTD	153759.64	2034
D M ORTHOTICS LTD	563.86	2035
D MACFARLANE & SON LTD	20872.67	2036
D PATTERSON	2502.07	2037
D TYSON	4000	2038
D&P TROPHIES	25631.88	2039
D&WP	522	2040
D-DRILL (MASTER DRILLERS) LTD	28327.02	2041
D.L. TIMBER & FENCING LTD	650	2042
D3 ASSOCIATES LTD	1980	2043
DAB GRAPHICS LTD	10435	2044
DAC BEACHCROFT CLAIMS LTD [GROUPED]	76809.20	2045
DAC BEACHCROFT LLP	28230.13	2046
DACS LTD	1851.85	2047
DAIRY LANE CARE CENTRE	1500	2048
DALE CARE LTD	9149457.44	2049
DALE POWER SOLUTIONS PLC	1974.44	2050
DALES PRINT SUPPLIES	2079.93	2051
DALES SPORTS SURFACES LTD	2925	2052
DALESAUNA LTD	21251.28	2053
DALLAS CARPETS LTD [GROUPED]	536.59	2054
DAME ALLAN'S SCHOOL	500	2055
DAN ADAMS T/A DATECHNICAL	500	2056
DAN SLEE C2 LTD	3358.83	2057
DAN VERNON PHOTOGRAPHY	883	2058
DANCE CITY	4920	2059
DANDY EVENT & PARTY SPECIALISTS	13151.70	2060
DANDY EVENTS LTD	5173.05	2061
DANNYS SANDWICH BAR	48869.26	2062
DANSHELL HEALTHCARE LTD	459922.64	2063
DANSKYS	54334	2064
DARLINGTON ASSOCIATION ON DISABILITY	7455	2065
DARLINGTON BOROUGH COUNCIL	310644.22	2066
DARREN CAIRNS ILLUSTRATION & DESIGN	1000	2067
DART VALLEY SYSTEMS	699.38	2068
DASH INFORMATION SYSTEMS LTD	12947.60	2069
DATA DESIGN SERVICES LTD	22405.75	2070
DATADAY SOLUTIONS PARTNERSHIP	625	2071
DATASAFE STORAGE LTD	5116	2072
DATATANK	35584.55	2073
DATATRON DOCUMENT IMAGE ARCHIVING LTD	1995	2074
DATUM LTD	43885	2075
DAVE BLACK CONSTRUCTION LTD [GROUPED]	129906.54	2076
DAVE SHEPPARD ASSOCIATES LTD	2400	2077
DAVE'S MINIBUSES	77321	2078
DAVID ANDERSON BUSINESS SERVICES LTD	8916.92	2079
