TYNE PLUMBING & PLASTICS	2339.58	7217
THE MANOR HOUSE CARE HOME	149601.35	6926
TELFORD HART ASSOCIATES	1500	6804
TURLEY ASSOCIATES	1005	7178
TYNESIDE RAPE CRISIS CENTRE	76295.5	7235
TAMARIS (ENGLAND) LTD	176258.76	6731
TRUVELO (UK) LTD	47898.25	7167
THE DESIGN GROUP	42885	6868
TRU LTD [GROUPED]	954614.7	7163
THE PUNCH PUB COMPANY LTD	670.21	6949
TEDCO BUSINESS SUPPORT LTD	366535.23	6789
TYNE GATEWAY TRUST	15000	7213
TS BOOKER & SON (MANUFACTURING) LTD	2305.24	7168
THE MEADOWS (BOLDON)	23686.27	6927
TRANSPORTTIMES EVENTS	350	7126
TOCSIN SECURITY	5081.3	7064
TRICHO-TECH LTD	7631	7142
TYNE WEAR SPORT	15680	7225
THOMSON DIRECTORIES LTD	4997.88	7025
TRANSMIT ENTERPRISE	3375	7124
THE HISTORY WARDROBE	3471	6904
T W EASON  LTD	113400	6719
TREATMENT SOLUTIONS	487294.159999999	7133
THE AVALON BAR & HOTEL LTD	17556	6834
THISTLE HOTEL	3770.83	7005
T H WHITE LTD	633.68	6706
TURN  IT AROUND TRAINING	3000	7179
THE FLOWER HUT	1500	6885
TRINITY COLLEGE LONDON	3735	7148
THE NEW GATESHEAD BEDDING COMPANY	780	6937
THE MOBILE SINK COMPANY LTD	510	6931
TIK TOK	3563.2	7045
THE HUNTERCOMBE GROUP	547226.76	6908
THE DYSLEXIA SHOP LTD [GROUPED]	478.03	6874
THE CARLTON HOTEL	1500	6848
TEAMWORK COMMUNITY DEVELOPMENT LTD	55282.43	6782
TRIMEGA LABORATORIES LTD	646.78	7144
THRIFT ENERGY LTD	7000	7037
THIRSTYS.CO.UK LTD	368	7003
THE FELLING BAND	20075	6879
TYNE AND WEAR RESIDUARY BODY	43641.99	7210
TGM GROUP LTD T/A CLASSIC COACHES	29355.5	6826
TAMARIS HEALTHCARE- ELSWICK HALL	3667.85	6735
TYNDALE FLOORING LTD	52313.98	7195
TONY HIGGINS ASSOCIATES	1490	7073
THE SOLAR ENERGY CENTRE LTD	440	6967
THORNE & DERRICK	9376.25	7029
THE TRANSAFE NETWORK LTD	3000	6974
TEAM CYCLES	4500	6763
THE THOMAS HEPBURN SCHOOL INTERNAL FUND	2000	6973
THE FACILITATION PARTNERSHIP LTD	6000	6878
THE HISTORY PRESS LTD	446.67	6903
THOMPSONS OF PRUHOE LTD	261272.17	7022
TIME & TALENT AGENCY LTD	1100	7051
TYNE & WEAR PLAY LTD	24882.5	7206
T HAYNES CHORLEY & CO LTD T/A SPECTRUM PLASTICS	16784.66	6707
THE LANDLORDS ASSOCIATION LTD	1083.34	6914
TRANSFER CREATIVE PROJECTS CIC	3500	7121
TRT  LIGHTING  LTD [GROUPED]	6377.6	7162
TRANSMIT START UP	8500	7125
THOMAS PROCTOR & SON LTD	12076.76	7014
THE RIOT ACT LTD	48692	6952
TYNESIDE WOMENS HEALTH PROJECT	409226.24	7239
TYNEDALE ROADSTONE LTD	951859.720000001	7227
TRAVEL BUREAU	252525.5	7129
THE GREEN GATESHEAD CLUBHOUSE	2400	6900
TBC CONVERSIONS	462232	6753
TRAVELLING LIGHT THEATRE COMPANY	1350	7131
THE KNOWLEDGE ACADEMY	5975.1	6913
THE SALVATION ARMY	900	6962
TREND CONTROL SYSTEMS LTD	2000	7135
THE FIVE LAMPS ORGANISATION	50000	6884
TYNE AND WEAR CENTRE AGAINST UNEMPLOYMENT	15000	7209
TRADE & DIY PRODUCTS LTD	3487.5	7105
THE DURES PARTNERSHIP	7832.7	6873
THE AVENUE HOTEL LTD	12534	6835
TENSARINTERNATIONALLTD	11134.8	6812
THE WE CAN GROUP LTD	1920	6982
TYNE METROPOLITAN COLLEGE	158540.5	7216
TRADITION UK LTD	4986.3	7108
THE FRONTLINE ORGANISATION	37340	6890
TOTAL ID	5861.05	7084
THE LEARNING POOL	31625	6919
TALBOT HOUSE	1986001.36	6728
TYNE UNITED ROWING CLUB	46244.98	7221
THIRTY NINE	1650	7004
THE BEECHES CARE HOME	24352.27	6839
TWOFOLD LTD	530.5	7193
THOMPSONS SOLICITORS	109174.66	7023
THE AL FRESCO CHEF	1500	6829
TEES VALLEY PROFESSIONAL SERVICES GROUP	500	6792
TRANS UK SUPPLIES LTD	1691.34	7119
THE MOUNT COMMUNITY CENTRE	1782	6932
TRN TRAIN LTD	515723.2	7156
TSL EDUCATION LTD	29964.2	7169
THE NATIONAL FOSTERING AGENCY	66086.25	6935
THE LEISURE MEDIA COMPANY LTD	5241	6920
TALBOT & ASSOCIATES LTD	1000	6727
TIME 4 YOU SCHOOL COUNSELLING SERVICE LTD	27615	7052
THINKWELL	1085	7002
THE BUILDING TEST CENTRE	550	6847
THE NATIONAL SKILLS ACADEMY FOR SOCIAL CARE	5450	6936
THE MANOR HOUSE	10103205.6	6924
TROJAN CONSULTANTS LTD	101215	7158
TEAM FORCE RESTORATION LTD	15449.2	6764
THE FIRE INDUSTRY ASSOCIATION LTD	2700	6883
TEACHING PERSONNEL LTD	24193	6759
TOM HUGHES TARPAULINS	4644	7069
TULLETT PREBON	18504.11	7173
TURNEY-WYLDE (CONST) LTD	1370241.35	7182
