"HUAJING BUILDING CO., LTD"	551.57	14
"Halo Industries Ltd,t/a as HALO"	10765.94	15
"Harrison, Townsend & Ormeshers"	149936.27	16
"Hempsons, Harrogate"	1500	17
"Highways Agency, The Cube"	32545.57	18
H & C Plant Hire Ltd	1537938.29	6239
H & S Electrical Wholesalers Ltd	7846.68	6240
H A L Standeven	960	6241
H C Slingsby Plc	31543.08	6242
H Crowther Ltd	2500	6243
H Jenkinson & Co Ltd [GROUPED]	1391435.04	6244
H L F Berry & Co	149413.26	6245
H M Revenues and Customs	5357961.14	6246
H N Nuttall Ltd	8181.10	6247
H PROPERTY MANAGMENT	64211.70	6248
H R Properties Ltd [GROUPED]	1410	6249
H W Martin (Traffic Management) Ltd	9175	6250
H-PAN	2916	6251
H.A.S. Jones Ltd [GROUPED]	67319.76	6252
H.G. Care Services Ltd	1876865.57	6253
H.G.Stephenson Ltd	3340.54	6254
H.M. Land Registry	529690.39	6255
H.M.Land Registry	78812.19	6256
H.V.B.Flooring Services Ltd	12581	6257
H20 FlowTech Ltd	1054.60	6258
H2S2	7729	6259
H2SN0W LTD	2505.56	6260
HAGS-SMP Ltd [GROUPED]	289734.83	6261
HALKAWT LATIF MUSTAFA	1052.20	6262
HALLMARK HOTEL	660	6263
HAMILTON RENTALS LTD	2205.24	6264
HANIWELLS PROPERTIES	2530	6265
HANNON HOLMES LTD	1336.54	6266
HAPPY HOMES (UK) LTD	1189.34	6267
HAPPYVALLEYHONEY.CO.UK	507	6268
HARPURHEY NEIGHBOURHOOD PROJECT	500	6269
HARRIS FOWLER LTD	20807	6270
HARRY BOODHOO & CO	115000	6271
HARVEY NICHOLS & COMPANY LTD	1245.42	6272
HARVEYS	1000	6273
HASLAM PRINTERS	2147	6274
HAVEN HOLIDAYS	4768.19	6275
HAWK COURIERS LTD	780	6276
HAWTHORNE & HEANEY	1250.56	6277
HAY	4539.60	6278
HAYMARKET MEDIA GROUP	504	6279
HB Editorial Service Ltd	12222	6280
HBE Properties	3000	6281
HBH MANCHESTER NORTHERN	0	6282
HBHC Synergy Ltd	566514.41	6283
HBM Sayers	936	6284
HBS (UK) Cleaning Services Ltd	68132.59	6285
HCA International Ltd	66839.05	6286
HCB Berry & Berry Ltd	702.92	6287
HCB Solicitors Ltd (North Offices)	1020	6288
HCL Social Care	1912619.66	6289
HCRG Care Services Ltd	4716	6290
HCSS Education Ltd	41275	6291
HD Research	536.40	6292
HEALTHCARE CONFERENCES	1221.30	6293
HEATON SQUARE LTD	850	6294
HELEN CONNOR TA CONNOR PROPERTIES	1146.04	6295
HENDHAM HOTELS LTD [GROUPED]	3906	6296
HENDHAM HOUSE HOTEL	8198.75	6297
HENRY	13501	6298
HERBERT SMITH FREEHILLS LLP	234429.21	6299
HERITAGE DIGITAL LTD	2096	6300
HEYES CHARTERED SURVEYORS	1127	6301
HF Design Ltd	3500	6302
HG Site & Stage Projects Ltd	500	6303
HH LEGAL	2895	6304
HIE MANCHESTER EAST	32793.07	6305
HIGH LEGH GARDEN CENTRE	1467	6306
HIGH STREET SOLICITORS	13695.06	6307
HIGHSTREET VOCUHERS	908.30	6308
HIGHSTREETVOUCHERS	2609.50	6309
HILARY MEREDITH SOLICITORS	6300	6310
HILLS LETTINGS LTD	1106	6311
HILTON	75700.71	6312
HILTON HOTELS	24400.40	6313
HILTON MANCHESTER	51839.23	6314
HIRA CARPETS	2625	6315
HIRE INTELLIGENCE	752.32	6316
HIREQUIREMENTS LTD	13823.22	6317
HLF Berry	281299.57	6318
HLF Berry Solicitors	1398	6319
HLW Keeble Hewson LLP	4294.25	6320
HM COURTS & TRIBUN	600	6321
HM Courts and Tribunal Service	1965	6322
HM Prison Service	109885	6323
HM REVENUE & CUSTOMS [GROUPED]	1100922.71	6324
HM Revenue & Custom	16932	6325
HM TREASURY [GROUPED]	154443.96	6326
HMCOURTS-SERVICE.G	19424	6327
HMCS	341260	6328
HMCS Traffic EC	2266463	6329
HMCTS	13285	6330
HMCTS (Manchester County Court)	3697475	6331
HMCTS (Manchester)	1312938.51	6332
HMCTS (Newport)	15900	6333
HMCTS BOLTON082	4166.50	6334
HMG Paints Ltd	1566.72	6335
HMO ESTATES LTD	1200	6336
HMS (Hale Medical Services)	800	6337
HNP Projects Account	8500	6338
HNS Trafford CCG	23592.86	6339
HOBBY COMPONENTS LTD	1643.30	6340
HOK International Ltd [GROUPED]	370384.19	6341
HOLBORN CHAMBERS	650	6342
HOLDEN SMITH LAW LTD [GROUPED]	156000	6343
HOLIDAY COTTAGES	10027	6344
HOLIDAY INN EXP	2211.67	6345
HOLIDAY INN MANCHESTER	2289	6346
HOLIDAY INN P CARD ONLY	121482.52	6347
HOLIDAY INNS	1000	6348
HOLIDAY LETS	3464.77	6349
HOLIDAY PAYMENT AVR	3213.75	6350
HOLIDAY PAYMENT VRUK	17899	6351
HOLIDAY RESERVATIO	624	6352
HOLIDAYINN E MANCAIRPO	2774.50	6353
HOM Partnerships CIC	7070.66	6354
HOME	9953483.39	6355
HOME Community Cafe	500	6356
HOME PROPERTY SOLUTIONS	1190	6357
HOMEBASE	1000	6358
HOMEFAIR (NORTH WEST)	2298	6359
HOMEFAIR BLINDS UK	1086.20	6360
HOMES 4 U	800	6361
HOMES4U GROUP LTD	1154	6362
HOMEWORLD PROPERTY MAN	1184.62	6363
HONEYFLOW	1104.30	6364
HONISTER SLATE MINE	690	6365
HOPEWALL FARM MILK	4103.14	6366
HOTEL AT BOOKING.COM	269257.05	6367
HOTEL FOOTBALL	2916.67	6368
HOTEL GRAY ALB	684.66	6369
HOTEL IBIS	20190	6370
HOTEL INDIGO	510	6371
HOTEL MELIA	980.29	6372
HOTEL MERCURE	5375	6373
HOTEL NOVOTEL	598.61	6374
HOTEL ON BOOKING.COM	13493.01	6375
HOTEL ON BOOKING.COM CONF	2360	6376
HOTEL ON BOOKING.COM QUEE	758.70	6377
HOTELSCOM8040708007538	518.23	6378
HOTELSCOM9166773783644	600	6379
HOUSE OF COMMONS	500	6380
HOUSE OF LAW	50000	6381
HOUSE OF LAW LTD	50000	6382
HOUSE OF PLANTS	4335.40	6383
HOWARTH TIMBER	18063.04	6384
HOWARTH TIMBER BURY	1242.36	6385
HOWARTH TIMBER MANCHES	711.55	6386
HOWARTH TMBR MERCH	1402.09	6387
HP INC UK LTD [GROUPED]	6591	6388
HPA SOLICITORS	2028.50	6389
HPI Ltd	57328.31	6390
HPS solicitors	1750	6391
HQ Solicitors	1000	6392
HQN Ltd [GROUPED]	5155.50	6393
HR Care (Manchester) Ltd	146838.11	6394
HR GO Recruitment Healthcare	1339386.38	6395
HRH Properties	1000	6396
HRS Services Ltd	20950	6397
HS Sports Ltd	94550	6398
HSBC Bank Plc	0	6399
HSE	1309	6400
HSE & Its Agencies	1128.40	6401
HSK SOLICITORS	150000	6402
HSK Solicitors	193343.44	6403
HSL Compliance Ltd [GROUPED]	14527.25	6404
HSL Group Holdings Ltd	1050	6405
HSS HIRE	1438.59	6406
HSTS Consulting and Dev Ltd	13950	6407
HT LEGAL LTD [GROUPED]	32001.48	6408
HTTP://WWW.CLUBDONCAST	5689.81	6409
HTTP://WWW.GALATENT.CO	4680	6410
HTTPS://DELEGATES.EUROCIT	644.61	6411
HTTPS://PAYMENTS.STRAT	719	6412
HTTPS://WWW.SHU.AC.UK	1250	6413
HUBBUB Foundation Enterprise Ltd	940	6414
HUMD  Solicitors	11338	6415
HUMD Solicitors	299203.49	6416
HUNTERS ESTATE AGENTS	769.23	6417
HUPERADE LTD [GROUPED]	2046	6418
HURSTHEAD JUNIOR SCHOOL	1953.50	6419
HVB Communicatie	1356.81	6420
HYATT HOTEL PARK HYATT BE	1495.92	6421
HYATT HOUSE MANCHESTER	16653.09	6422
HYDRON PROTECTIVE COAT	503.75	6423
HYPNOS CONTRACT BEDS L	650	6424
HaB International Ltd [GROUPED]	202796.57	6425
Hab t/a Habarts Ltd	64000	6426
Habitate Health	3188.63	6427
Hachette UK Distribution	26764.84	6428
Hadfield Wood Recyclers	19725.05	6429
Hadrian's Wall Heritage Ltd	23469.44	6430
Hague Lambert	535244.42	6431
Haig Colliery Mining Museum	5350	6432
Haig Housing Trust	50000	6433
Haigh Phillips Design	2500	6434
Hala Guest House	1090905	6435
Halcrow Group Ltd	69095	6436
Halcyon (No 1) Ltd	3136.60	6437
Halcyon Conservation Ltd	165024.25	6438
Halcyon No 1	1168.45	6439
Halfords	421175.17	6440
Halifax	5638.71	6441
Hall Aitken	35847	6442
Hall Cleaning Services Ltd	84848.04	6443
Halle	2304	6444
Halle Concerts Society	7290189	6445
Halle concerts society	16571.57	6446
Hallsworth & Co	600	6447
Hallsworth & Company	850	6448
Hallsworth and Co Ltd	770	6449
Hallsworth and Company	2320	6450
Halo Aerial Ltd	1200	6451
Halo Media Ltd	600	6452
Halo Post Production	565	6453
Halton Borough Council	646.16	6454
Hamara Health Living Centre	95717.94	6455
Hamerton Road T&R Association	773	6456
Hamerville	5640	6457
Hamerville Media Group	852	6458
Hamlins LLP	12060	6459
Hammad Malik Ltd	600	6460
Hammonds	46907.81	6461
Hammonds LLP	124610.23	6462
Hampshire County Council	8457.79	6463
Hampson Hughes Solicitors	135143.18	6464
Hampson Hughes Solictors	15022.82	6465
Hamptons Resourcing Ltd [GROUPED]	166239.34	6466
Handball Crew Ltd	3510	6467
Handball Crew Ltd(IN LIQUIDATION)	780	6468
Handforth Grange Primary School	12077.30	6469
Handicare  UK Ltd	48795.92	6470
Handicare Accessibility Ltd	27875	6471
Handley Law	3946	6472
Handley Law Solicitors	1986.84	6473
Hands Free Computing	1824	6474
Hands Free Computing Ltd	3011	6475
Hanifa Community Initiative	4750	6476
Hanlon Computer Systems Ltd	1245	6477
Hannay Associates Ltd	595	6478
Hanson Business Support UK Ltd	540	6479
Hanson Quarry Products Europe Ltd	64699.51	6480
Hanstons Ltd	752.46	6481
Hanwell Instruments Ltd	9988.20	6482
Happa	1050	6483
Happy Bears	8710.65	6484
Happy Computers	4050	6485
Happy Faces	583.20	6486
Happy Feet Day Nursery Ltd [GROUPED]	560	6487
Happy Homes Manchester Ltd	6029.15	6488
Happy Homes Uk Ltd	1786209.81	6489
Happy Kids Childcare Ltd	1232	6490
Happy Somedays	2500	6491
Happy Tots	607	6492
Happy Tots Nursery	28852	6493
Harbex Nursing & Care	93712.98	6494
Harbottle &amp; Lewis	2800	6495
Harding Building Services Ltd	10721.79	6496
Hardscape Products Ltd	40927.40	6497
Hardware UK Ltd [GROUPED]	42514.18	6498
Hardwicke Chambers	2000	6499
Hardy Mill Primary School	20390.50	6500
Hargreaves Foundry Ltd	85190	6501
Hargreaves Gilman	203725	6502
Hargreaves Gilman Solicitors	109803.47	6503
Harold Stock & Co	91064.90	6504
Harp-Yasp	241981.05	6505
Harpurhey Community Church	13889	6506
Harpurhey Neighbour Project Society	32322.58	6507
Harpurhey Neighbourhood Nursery	6396	6508
Harpurhey Neighbourhood Project	431537.26	6509
Harriet Williams Ltd	2500	6510
Harris & Ross Ltd [GROUPED]	6600	6511
Harris Fowler Ltd [GROUPED]	58513.69	6512
Harris Fowler Solicitors	52775.84	6513
Harris Legal (UK) Ltd	6544.11	6514
Harrison Clark Rickerbys Ltd	30000	6515
Harrison Management Services Ltd	3750	6516
Harrow Green	652410.88	6517
Harry Fairclough Construction Ltd	2453684.62	6518
Harry Fairclough Ltd [GROUPED]	1737435.14	6519
Harry Hall Cycles	1805.18	6520
Harry Pigott Court Fund	5298.18	6521
Hart Psychological Consulting	18846.86	6522
Hart Psycological Consulting	999.40	6523
Hartecast Ltd [GROUPED]	60955	6524
Hartley & Marks Publishers Ltd	38145.42	6525
Hartshorne Gardening Club	1500	6526
Harvey House Social Enterprises Ltd	282691.50	6527
Harvey Nichols & Company Ltd	4201.67	6528
Harvey Roberts	219441	6529
Harvey Roberts Solicitors	5796	6530
Harwell Document Restoration Ser	1710	6531
Harwell Document Restoration Servs	52149	6532
Harwill Homes Ltd	164500	6533
Hastings Insurance Ser Ltd	955.66	6534
Hastings Private Hire	1129367.59	6535
Hatch Associates Ltd	19600	6536
Hathaway Technologies Ltd	5868	6537
Hatton Traffic Management Ltd	168310.12	6538
Hattrell DS One Architects LLP	979.49	6539
Hattys Cafe	4600	6540
Haunt MCR Ltd	3000	6541
Havas People Ltd	139820	6542
Haveley Hey Community School	4818.13	6543
Haveley Hey Community School Academ	7721.10	6544
Haveley Hey Primary School	744.56	6545
Haven Holidays	544	6546
Haven Power Ltd	19449680.27	6547
Hawk Incentives Ltd [GROUPED]	11030.74	6548
Hawk Security & Surveillance	9887	6549
Hawkins Brown Architects LLP	2000	6550
Hawkins Brown Design Ltd	66400	6551
Hawkley Hall High School	5830	6552
Haworth & Lees Solicitors	960	6553
Hawthorne & Heaney Ltd	1042.14	6554
Hayes Bridgland Ltd	3150	6555
Hayes Connor Solicitors	5000	6556
Haymarket Media Group	2898	6557
Haymarket Publishing Services Ltd	66326.40	6558
Haymarket Subscriptions	4071.25	6559
Haynes Street Investments Ltd	920.55	6560
Hays Personnel	6498208.41	6561
Hays Social Care	11217.75	6562
Hays Specialist Recruitment Ltd [GROUPED]	12323.82	6563
Haytons Executive Travel Ltd	1080	6564
Hayward Baker Solicitors	34850	6565
Haywood Rope Access	1150.80	6566
Hazel Grove High School	16109	6567
Hazelcourt Supported Living	4780	6568
Hazeldene Allotments Society	2275.99	6569
Hbinfo Ltd	8783.20	6570
Head Hearts & Hands in Practice	2550	6571
Headcounts Consultancy Ltd [GROUPED]	1425	6572
Headhandheart Ltd	1048.50	6573
Headstart	240000	6574
Headstart School	20000	6575
Heald Place Primary School	4417.07	6576
Heald Solicitors	16000	6577
Healds	96583	6578
Healds Solicitors	45926.84	6579
Healds Solicitors LLP Client Accoun	9500000	6580
Health & Safety & First Aid Service	1355	6581
Health & Safety Laboratory	1337	6582
Health Assured Ltd	359232.35	6583
Health Diagnostics Ltd	175498	6584
Health Management (UK) Ltd	38825	6585
Health and Care Videos	2512.45	6586
Health and Safety Executive	1537.60	6587
