Zest Team North Mcr FAD008422	22500	12522
Zest Promotional	500	12520
Zest Team North Mcr FAD009422	3500	12523
Zenzie Tinker Conservation Ltd	10450	12512
Zagota Creations Ltd [GROUPED]	14084.65	12506
Zilkens fine Art Insurance Broker	3473.99	12524
ZOUK TEA BAR & GRI	780.58	12505
ZooLab Ltd	637	12531
Zurich Municipal	2515149.62	12535
Zephyr	871.9	12513
Zip Heaters (Uk) Ltd	3785.83	12527
Zurich Insurance	13640503.87	12534
Zipporah Ltd	82875.65	12528
Zebra Business Services Ltd	1200	12509
Zest Legal	24000	12518
Zerum Consult Ltd [GROUPED]	2725	12517
Z-Card Ltd	3330	12504
Zen Internet Ltd	2427.24	12511
Zion Community Resource	5736	12526
Zero Point Eight (Dudley) Ltd [GROUPED]	11655.96	12515
Zoeller Waste Systems Ltd	3028.28	12530
Zero Six	41640.71	12516
Zion Arts Centre Ltd	2250473.98	12525
Zebra Training Services	585	12510
Zoolab Ltd [GROUPED]	3300	12532
Zatman & Co Solicitors	832306.81	12507
Zaylai Books	2083.85	12508
Zest Legal Solicitors	750	12519
Zurich	20498.23	12533
Zest Team North Mcr	2000	12521
Zoe Lodrick Ltd	799.93	12529
Z-Arts	500	12503
Zermansky & Partners	42609.55	12514
