FREEMAN OF NEWCASTLE UPON TYNE	475726.62	4122
FOCUS GROUP	3400	4016
FOUNDRY DIGITAL CREATIVE	660	4081
FINANCIAL INCLUSION NEWCASTLE LTD	941887.74	3921
FRIENDS OF WOODLANDS CONMMUNITY CENTRE	2340	4170
FIBONACCI LTD	22932	3914
FACILITY INTEGRATED SERVICES	1770	3812
FEDERATION FOR INDUSTRY SECTOR SKILLS	4840	3873
FERGUSON LANE COMMUNITY ASSOCIATION	19640	3900
FAWDON COMMUNITY ASSOC.	104553.17	3864
FUTURE INDUSTRIAL SERVICES LTD	47755.6	4204
FENHAM HALL MEDICAL GROUP	53620.81	3888
FIRMSTEP	174590.76	3938
FIRST CALL HEALTHCARE	343970.5	3941
FORBES GROUP LTD	1668.85	4033
FAIRHURST	11605	3822
FLEET FACTORS LTD	60522.62	3977
FINE SOLUTIONS LTD [GROUPED]	1033	3927
FORSTER CARES LTD	243205.67	4056
FOCUS ON TRAINING	5105	4019
FRIENDS OF DENTON DENE	5000	4144
FM HOME CARE	11767.5	4009
FLOORING DEVELOPMENT LTD	550	3990
FAWDON PARK SPORTS DEVELOPMENT PROJECT	18859	3869
THE FOSTERING NETWORK	37642.54	10797
FOUNDRY MEDIA	317196.9	4082
FITZ FABRICATION & DESIGN LTD	3548.5	3963
FINDEL EDUCATION LTD	579.9	3925
FRUIT TO SUIT	901.28	4180
FIELD CONSTRUCTION NELTD	4536.84	3915
FIELDWORK EDUCATION LTD	1000	3917
FLOMATIC LTD	1203.96	3989
FARNELL ELECTRONIC COMPONENTS LTD	1796	3852
FINDEL EDUCATION	65723.95	3924
FORUM BOOKS	559	4061
FRATHOUSE LTD	5519.13	4107
FITTED INTERIORS TRAINING& INSTALLATIONS	243374.14	3962
FRECKER LTD T/A HENSON MOTOR GROUP	670	4109
FIRECO LTD	2763	3936
FIT TRAINING LTD	1653.33	3958
FORBO FLOORING UK LTD	8640	4035
FRIENDS OF JENNIFER GROVE	4916.56	4152
FASTFLOW PIPELINE SERVICES	5300	3859
FAIRMAN CHEMISTS	26060.21	3823
FAIRBRIDGE IN TYNE AND WEAR	96752.58	3820
FITZPATRICK WOOLMER	8204	3965
FRESHWATER COOLERS PLC	6981.91	4134
FAIRBAIRN RESIDENTIAL LTD [GROUPED]	1025	3818
FOR SKILLS LTD	3929.5	4031
FAMILY HEALTH & COMM PROJECT/CUSHTY CAFE	90705.09	3840
FULL POINT COMMUNICATIONS LTD	7739.15	4189
FLOORSTYLES CONTRACT & COMMERCIAL FLOORI	7416	3991
FREETHS LLP	1500	4124
FAULKNERBROWNS LLP	171845	3862
FIRE SAFE INTERNATIONAL LTD	1011.65	3935
FDR LAW	450	3872
FRIENDS OF SCOTSWOOD PLAYCENTRE	3200	4162
FAITH HOPE AND FAMILIES	17250	3825
FIRE LININGS LTD	13210	3931
FIFTEEN FORTY NINE LTD	1892.41	3918
FORESIGHT RESIDENTIAL LTD	313735.039999999	4047
