J & B RECYCLING LTD	798097.69	5963
J & J MAINTENANCE SERVICES	424.86	5964
J & J WARD LTD	5460	5965
J & L GIBBONS	19833	5966
J & M TRAVEL	172946.10	5967
J A JONES & SONS (CHURCHTOWN) LTD	6209	5968
J B COMPONENTS LTD	781.40	5969
J C DECAUX (UK) LTD	31415.56	5970
J C DECAUX LTD	118272.08	5971
J C DECAUX UK LTD STREET FURNITURE	668722.57	5972
J C EVENTS	5770	5973
J D WETHERSPOON	2090.20	5974
J HENDERSON & SONS	2258	5975
J HINDMARSH (TURF SUPPLIERS)	410	5976
J J SPORTS COACHING	13923	5977
J KENNEDY CONCRETE PUMPING	3470	5978
J M L HARDWARE LTD	20103.60	5979
J MCKIE	400	5980
J N D SECURITY	2667.25	5981
J P A P O'BRIEN	7556.30	5982
J P S INSULATION LTD	158314.49	5983
J RUNDLE & COMPANY LTD	20000	5984
J T C FURNITURE GROUP	1770	5985
J T DOVE LTD	4396713.36	5986
J W PRANGLEY	663.71	5987
J WOODHOUSE	1325	5988
J&C JOEL LTD	1770	5989
J&F THOMSON & SON	502.65	5990
J&G ARCHIBALD LTD	94329.41	5991
J&J GLAZIERS	4000	5992
J&J STANLEY	1208378.30	5993
J&J WHITTAKER (CHEMIST) LTD	42132.73	5994
J&P HARDWARE LTD	65523.17	5995
J&W LOWRY LTD	1360	5996
J.H.A [GROUPED]	1973.54	5997
J2 CONNECTION	8350	5998
JAB DISTRIBUTION	5086.95	5999
JAB TECHNOLOGIES LTD	40648	6000
JACK COUPE & SONS LTD	29441	6001
JACK FISHER PHOTOGRAPHY	575	6002
JACKSON LIFT SERVICES LTD	1624	6003
JACKSONS COMMERCIAL & PRIVATE LAW LLP	49950	6004
JACKSONS LAW FIRM	1203.20	6005
JACOBS CERTIFICATED BAILIFFS	86881.04	6006
JACOBS CONSULTANCY UK LTD	91142	6007
JACTRON	463.35	6008
JAFRE LTD T/A INTERPRINT	13217	6009
JAG ENTERPRISES	1404.50	6010
JAGO EUROPE	651	6011
JAKIR RIMON ALOM-EXCELSIOR ACADEMY	300	6012
JALALABAD CULTURAL SOCIETY	1645	6013
JALALBAD CULTURAL SOCIETY	890.73	6014
JAMBALAYA	54800	6015
JAMBALAYA ARTS C.I.C [GROUPED]	57660.80	6016
JAMBOYOGA	10080	6017
JAMBUSTERS LTD	14578.50	6018
JAMES A CUTHBERTSON LTD [GROUPED]	14679.50	6019
JAMES BURRELL LTD	570440.30	6020
JAMES BUTTON & CO SOLICITORS	378	6021
JAMES FLETCHER MARQUEE & PAVILION HIRE	9940.08	6022
JAMES FLETCHER MARQUEES	28347.80	6023
JAMES HUDSON (FLASH COMEDY & MAGIC)	750	6024
JAMES INGLEFORD SCAFFOLDING LTD	249211.48	6025
JAMES LATHAM GATESHEAD	908.65	6026
JAMES LECKEY DESIGN LTD	2763	6027
JAMES MELLOR LTD [GROUPED]	4587.20	6028
JAMES MILNE ASSOCIATES	18269.10	6029
JAMES SPENCER & CO LTD	1050	6030
JAMIE ANDERSON	1000	6031
JAMIESON & CO	54580.16	6032
JAN FORSTER ESTATES	833.44	6033
JAN FORSTER LETTINGS	1350	6034
JAN FORSTER LETTINGS AGENT	1357.31	6035
JAN FOSTER ESTATES	800	6036
JANE DARBYSHIRE & DAVID KENDALL LTD	67423.03	6037
JANE HARLAND MUSIC	317	6038
JANE LEHRER ASSOCIATES ACCOUNTS	420	6039
JANE PERCY HOUSE	24024.36	6040
JANET MCKIE	525	6041
JANET PLATER MANAGEMENT LTD	5240	6042
JANET UK	600	6043
JAPANESE KNOTWEED SOLUTIONS LTD	67188	6044
JAR ROOFING LTD	35952	6045
JARROW BREWERY	1051.76	6046
JASON BRUGES STUDIOS LTD	1000	6047
JASON ISAACS LTD	4639.12	6048
JASPERS NEWCASTLE LTD	1531.30	6049
JASPRINT	436	6050
JATI LTD	1316.60	6051
JAZZ NORTH EAST	18280	6052
JB DEBT RECOVERY	536.63	6053
JB SKILLCARE LTD	387353.66	6054
JBA CONSULTING	51475.40	6055
JBC INDUSTRIAL SERVICES LTD	12215.65	6056
JBH DESIGN & EXHIBITIONS LTD	3138.30	6057
JBT WASTE SERVICES LTD	1102170.16	6058
JC APPLICATIONS DEVELOPMENT	31692.35	6059
JC MAINTENANCE SERVICES LTD	4520616.07	6060
JCAD APPLICATIONS	63148.50	6061
JCDECAUX UK LTD	6017	6062
JCM SEATING SOLUTIONS LTD	5220.48	6063
JCS ONLINE RESOURCES LTD	32879.14	6064
JCT CONSULTANCY	64552.94	6065
JDM DIAMONDMASTERS LTD	31504.27	6066
JDP CONTRACTING SERVICES LTD	73890.54	6067
JEC TRAINING	1797	6068
JEFF ALLISON TRAINING LTD	1800	6069
JEFF DOBSON MARQUEE HIRE	1680	6070
JEFFREY CARR LTD	2011	6071
JELLY AND BEAN LTD	386.40	6072
JELLY BEAN OSC	300	6073
JELLY JAMES LTD	553.89	6074
JELLYCAT LTD	6241.70	6075
JELLYTOTS PRE-SCHOOL	4402.32	6076
JENNIFER NOCK TRAINING AND CONSULTANCY	265	6077
JENNINGS WINCH & FOUNDRY CO LTD	7724.40	6078
JENNY BIANCARDI CONSULTANCY	300	6079
JENNY JARVIS (AVIG UK)	375	6080
JENNY LASCELLES	308	6081
JEREMY BENN ASSOCIATES LTD	31048	6082
JESMOND BEAUTY CLINIC LTD	1500	6083
JESMOND COMMUNITY FORUM	44769	6084
JESMOND COMMUNITY LEISURE	2113	6085
JESMOND DEMENTIA ACTION ALLIANCE	810	6086
JESMOND DENE HOUSE LTD	8113.75	6087
JESMOND DENE REAL TENNIS CLUB	600	6088
JESMOND HEALTH PARTNERSHIP	1416	6089
JESMOND LEISURE	760	6090
JESMOND NURSERY	9824	6091
JESMOND NURSERY LTD	707155.66	6092
JESMOND PARISH CHURCH	21119.42	6093
JESMOND PARK ACADEMY	91873.45	6094
JESMOND RESIDENTS ASSOCIATION	4575.78	6095
JESMOND SWIMMING PROJECT	34398	6096
JESMOND THERAPY CENTRE	450	6097
JESMOND TREE SURGEONS	1880	6098
JESMOND UNITED REFORM CHURCH	284.80	6099
JESMOND VALE RESIDENTS ASSOCIATION	2400	6100
JESMOND YOUTH MUSIC GROUP	4160	6101
JESS JOHNSON	480	6102
JESSICA TAYLOR STEWART	400	6103
JET	402630.90	6104
JET (JOBS EDUCATION & TRAINING)	819021.54	6105
JEWSON	629.54	6106
JEWSONS	1059810.30	6107
JF POTTS & SON LTD	4568.35	6108
JG UNIFORMS	12575.40	6109
JG WINDOWS LTD	13633.67	6110
JHM DICKSON LTD	390	6111
JHP TRAINING	4928.12	6112
JIGSAW 24	7097	6113
JIGSAW ENTERTAINMENTS	3265	6114
JIGSAW EVENT MANAGEMENT & STUK SOUND	2725	6115
JIGSAW PALLETS LTD	3489.75	6116
JIGSAW RECOVERY PROJECT CIC	28000	6117
