K M A STREET	403.98	2959
K M ATKINSON	1704.35	2960
KAJIMA NORTH TYNESIDE LTD	22682262.94	2961
KALEIDOVISION LTD	1872	2962
KALMER COUNSELLING LTD	12830	2963
KANA SOFTWARE	26495	2964
KANE INTERNATIONAL LTD [GROUPED]	2512.44	2965
KAPITEX HEALTHCARE LTD	195.14	2966
KAPLAN FINANCIAL LTD [GROUPED]	243	2967
KARBON HOMES LTD	69.29	2968
KARCHER UK LTD	1382.48	2969
KAREN BROWN CONSULTING	1250	2970
KARL JEFFERY	400	2971
KARTING NORTH EAST	592.91	2972
KASH RETAIL	60	2973
KATH PRICE TRAINING AND CONSULTANCY LTD	1900	2974
KATHRYN TICKELL BAND	2805.87	2975
KATHY WESOLOWSKI	10597.50	2976
KATIE LEE	1080	2977
KATNIC LTD T/A H&M HEALTH & MOBILITY	523.50	2978
KATRINA BUZZARD	4649	2979
KAY CARE SERVICES LTD	878991.69	2980
KAYLEIGH BRADLEY	1854	2981
KB INDEPENDENT LTD [GROUPED]	602.70	2982
KBR IT & NETWORKING SOLUTIONS LTD	51542.06	2983
KC BALDWIN LTD T/A THE SPLAT CENTRE	20160	2984
KD BUILDING SOLUTIONS LTD	130663.14	2985
KD THERAPY	5485.88	2986
KDL SITE WELDING SERVICE LTD	4906.50	2987
KEATING CHAMBERS	3000	2988
KEENLYSIDE SERVICES	860	2989
KEEP BRITAIN TIDY	19133	2990
KEEPMOAT HOMES LTD [GROUPED]	43622.29	2991
KEIRO LTD [GROUPED]	9860	2992
KEITH FREESTONE 394462	1500	2993
KEITH McKINSTRIE	1215	2994
KEITH PATTINSON LTD	2440	2995
KELLYS DIY	67.44	2996
KELLYS LIST STARS - KELLY MACALISTER	700.88	2997
KELVIN GROVE PRIMARY SCHOOL	2500	2998
KEN'S BUILDING & ROOFING SERVICES	2820	2999
KENDAL HOMES LTD	1012525.06	3000
KENDAL TILE AND STONE	30.50	3001
KENDAL YARD	1461.36	3002
KENNEDY'S COACHES	26320	3003
KENTON BAR PRIMARY	2200	3004
KENTON HIGH	1200	3005
KENTON MANOR CARE HOME	118161.06	3006
KENYON INTERNATIONAL EMERGENCY SERVICES	6482.05	3007
KEPLE LTD	3.44	3008
KERNOCK PARK PLANT	240	3009
KERRY HOLT	1450	3010
KEVIN FOSTER FUNERAL SERVICES	62680.95	3011
KEVIN MAYHEW LTD	1053.86	3012
KEVIN WALLACE	1280	3013
KEY ASSETS WA	37478.54	3014
KEY CRAFT UK	318.68	3015
KEY ENTERPRISES (1983) LTD	471732.65	3016
KEY FORENSIC SERVICES LTD	1000	3017
KEY SKILLS TRAINING	500	3018
KEY2 FUTURES LTD	34408.89	3019
KEYCRAFT	1744.10	3020
KEYFUND FEDERATION LTD	593.24	3021
KEYLINE BUILDERS MERCHANTS	3014.67	3022
KEYNETICS LTD T/A SENTRIKEY	530	3023
KEYS GROUP	448321.55	3024
KFC	96.12	3025
KIBBLE EDUCATION AND CARE CENTRE	483553	3026
KIBBLESWORTH SPECIALIST SUPPORT CENTRE	44695.80	3027
KICKTEK LTD	89.53	3028
