M & S MERCANTILE LTD	341.95	3243
M A AND I G CORNER LTD	18.13	3244
M AND D TRAVEL LTD	604.17	3245
M AND M DIRECT	171.56	3246
M D HANAFIN & SONS LTD	2475.38	3247
M FLEMING (PAINTING CONTRACTORS) & CO LTD	475	3248
M I DICKSONS	3.80	3249
M K CONVERSIONS LTD	13220	3250
M R TRAINING	238	3251
M STEEL CYCLES LTD	7897.80	3252
M&C ROOFING CONTRACTORS LTD	123271.02	3253
M&M VALUE LTD	1162.11	3254
M&S E COMMERCE	107.91	3255
M&S SIMPLY FOOD	3.42	3256
M&W PROPERTY SERVICES LTD	7006.89	3257
M-CONNECTED LTD	9450	3258
M2 SUBSEA LTD	2000	3259
MA EDUCATION LTD	2590	3260
MAB'S CROSS J&I SCHOOL	6160	3261
MAC ROOFING & CONTRACTING LTD [GROUPED]	3959.70	3262
MACDONALD HOTELS.CO.UK	240	3263
MACHINE MART LTD	3796.40	3264
MACKENZIE HALL LTD	1171.91	3265
MACLINGROUP.CO.UK	5738.46	3266
MACMILLAN CANCER SUPPORT	2291.71	3267
MACQUARIE CORPORATE AND ASSET FINANCE 2 LTD [GROUPED]	1908.28	3268
MADE IN CUMBRIA	39.50	3269
MADE TO TREASURE	2000	3270
MADEFOR COMPUTER SERVICES LTD T/A FABRIC	895	3271
MADELEINE LINDLEY LTD	7691.09	3272
MADFUN	333.29	3273
MAERSK TRAINING NEWCASTLE LTD	53000	3274
MAG SUBCRIPTIONS	393.95	3275
MAGIC GROUP	4000	3276
MAGIPLUG	39.96	3277
MAGIX SOFTWARE	112.47	3278
MAGMA SAFETY PRODUCTS LTD	1525.21	3279
MAGNA LARGE PRINT BOOKS	13719.02	3280
MAGRINI LTD [GROUPED]	212.45	3281
MAID TO MAINTENANCE	300	3282
MAIDENHEAD AQUATICS	30.39	3283
MAINLINE GUITARS	2358.45	3284
MAJESTIC WINE WAREHOUSE LTD	81.60	3285
MAKEPORT 2001 LTD	160160.14	3286
MAKRO	103.18	3287
MALCOLM BRAIN	6476.85	3288
MALHOTRA COMMERCIAL PROPERTY LTD [GROUPED]	53505.60	3289
MANCHESTER GOV	11	3290
MANDY BENNETT	3631	3291
MANGAR INTERNATIONAL LTD	64271.94	3292
MANGROVE NE LTD	627306.87	3293
MANOMANO.CO.UK	145.78	3294
MANOR CARE HOME GROUP	389031.25	3295
MANOR ROAD COMM PLAYGROUP	8540.94	3296
MANSONS	1000	3297
MAP MARKETING LTD [GROUPED]	72.94	3298
MAPAC GROUP LTD	99.55	3299
MAPLE TEXTILES	214.95	3300
MAPLES TEESDALE LLP	3101	3301
MAPLIN ELECTRONICS LTD [GROUPED]	5046.14	3302
MAPS LEGAL ASSISTANCE	8009.94	3303
MAPSUPPLIES.CO.UK	411.03	3304
MARDEN BRIDGE MIDDLE SCHOOL	303930.05	3305
MARDEN HIGH SCHOOL	531064.19	3306
MARIAN DOORS & SHUTTERS	2017	3307
MARINA SOLUTIONS	30076.50	3308
MARINE AVENUE MEDICAL CENTRE	13186.60	3309
MARINE MANAGEMENT ORGANISATION	1032.77	3310
MARINE PARK FIRST SCHOOL	129552.88	3311
MARINE SAFETY SUPPLIES LTD	656.75	3312
MARITIME CARGO PROCESSING LTD	6621.40	3313
MARK BUTCHER ASSOCIATES	375	3314
MARK HARROD LTD	855	3315
MARK HUNTER	61254.80	3316
MARK MIRFIN CONSULTANCY LTD [GROUPED]	103000	3317
MARK SWATTS MORSE SOLICITORS	495	3318
MARK TODMAN	3500	3319
MARK TONEY & CO LTD	83668.03	3320
MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI	112045	3321
MARKS & SPENCER PLC	2775.66	3322
MARMAX PRODUCTS LTD	1898	3323
MARRIOTT HOTELS	26.25	3324
MARSDEN GROTTO	5	3325
MARSFEN ARCHITECTURE	11745	3326
MARSH LTD	1295208.68	3327
MARSHALLS 394432	392.39	3328
MARSHALLS MONO LTD	2100	3329
MARSHALLS RESTAURANT	294.47	3330
MARSTON BOOK SERVICES LTD	467.15	3331
MARSTON GROUP	491.67	3332
MARTIN BROKERS (UK) LTD	40252.64	3333
MARTIN EDWARDS (RBM) LTD	160	3334
MARTIN HENNESSY ASSESSING	583.20	3335
MARTIN MCCOLLS LTD 1291	113.89	3336
MARTIN TODD	550	3337
MARTIN YALE INTERNATIONAL GMBH	900	3338
MARY HARE SERVICES	52685	3339
MARY JOAN HUNT	1033	3340
MARY NERGAARD	500	3341
MAS SEEDS LTD	30286.42	3342
MASCOTS UK AND HIRE LTD [GROUPED]	1710	3343
MASH/SWAT	315.60	3344
MATALAN	914.10	3345
MATHESON CHARTERED SURVEYORS	2150.87	3346
MATTHEW MOORE T/A HERE COMES THE NIGHT DESIGN	700	3347
MATTRESS SHOP	191.62	3348
MAUDESPORT	8579.82	3349
MAUGHAN REYNOLDS PARTNERSHIP LTD	400	3350
MAUREEN HALLS RENDEZVOUS JAZZ	300	3351
MAX SPIELMANN LTD	41.47	3352
MAXAM DIRECT LTD	388.80	3353
MAXHIRE LTD	120	3354
MAXIM FM LTD	861.11	3355
MAXONS LTD	1002.68	3356
MAXWELL AMEN	136.40	3357
MAXWELLS (NORTH SHIELDS) LTD	231.61	3358
MAYFAIR GUEST HOUSE	34159.39	3359
MAYFIELD PARK RESIDENTS ASSOCIATION	400	3360
MAZARS LLP	591273	3361
MBL SEMINARS LTD [GROUPED]	380	3362
MCAFEE	74.99	3363
MCARTHUR GROUP LTD	82.50	3364
MCDONALDS RESTAURANTS LTD	535.61	3365
MCELVOGUE TRAINER	1710	3366
MCKECHNIES LTD [GROUPED]	204493.02	3367
MCKENNA'S	193.07	3368
MCL DATA SOLUTIONS	101.95	3369
MCLOUGHLIN BUILDING SERVICES	29156	3370
MCPC SYSTEMS (UK) LLP	339	3371
MCVICKERS LTD	31059.88	3372
MEADOW MANIA	141.67	3373
MEADOW WELL CONNECTED	178346.73	3374
MEARS GROUP PLC	5186517.79	3375
MEARS HOME IMPROVEMENT LTD [GROUPED]	126316.75	3376
MEAT & TWO VEG	44.96	3377
MEDELA UK LTD	10758	3378
MEDEQUIP ASSISTIVE TECHNOLOGY LTD	16090.40	3379
MEDESIGN.CO.UK	34.50	3380
MEDI-TRANS-UK	8410	3381
MEDIATION 1ST	375	3382
MEDICAL IMAGING UK LTD	1296	3383
MEDISAVE UK LTD	625.90	3384
MEDISUPPLIES LTD	59	3385
MEDITREX MARKETING LTD	819.70	3386
MEDPAGE LTD [GROUPED]	214.25	3387
MEDWAY NHS FOUNDATION TRUST	322.03	3388
MELEM CONSTRUCTION SERVICES	92850	3389
MELISSA CUTHBERTSON	851.50	3390
MELROSE GUEST HOUSE	19880	3391
MELROSE HOUSE	1455183.06	3392
MELS CARPET BINDING	1000.01	3393
MELTEMI COMPANY CLOTHING LTD	2025.12	3394
MEN MEDIA LTD	19.80	3395
MENCAP	2510536.78	3396
MENTAL HEALTH CONCERN	5316	3397
MENTAL HEALTH LAWYERS ASSOCIATION	390	3398
MENTAL HEALTH MATTERS	215962.69	3399
MENTIMETER	237.99	3400
MERCURE MANCHESTER	151	3401
MERCURY LEGAL LLP	3255.88	3402
MERIDIAN VENTURE (UK) LTD [GROUPED]	2455	3403
MERIDITH TOWNE	368.80	3404
MERLIN ARCHERY LTD [GROUPED]	2137.45	3405
MERLIN ENTERTAINMENTS GROUP	55.83	3406
MERRIDALE MIS FUEL MONITORING LTD	1066.50	3407
MESSY MONKEYS LLP	700	3408
METADOT CORPORATION	2113.15	3409
METAL SUPERMARKETS GATESHEAD	50.30	3410
METALPOINT T/A ARNDALE ENGINEERING LTD	1122.94	3411
METEOGROUP UK LTD	22100.50	3412
METHODIST HOMES FOR THE AGED	262186.87	3413
METRIC GROUP LTD	228420.60	3414
METRO INNS (NEWCASTLE)	1362.51	3415
METRO REPRO LTD [GROUPED]	141.60	3416
METRO ROD LTD	27428.50	3417
METROLINK	4.66	3418
METROPLAN LTD [GROUPED]	3014.70	3419
METROPOLITAN	212.50	3420
METTA CONSTRUCTION	356435.71	3421
MEWA LLP	540	3422
MFA BOWL	55.70	3423
MGISD LTD	3166	3424
MGL (DEMOLITION) LTD	95638.81	3425
MGM LTD	983096.10	3426
MGM RESIDENTIAL LETTINGS	2250	3427
MH SOUTHERN AND CO LTD	383.20	3428
MHG (SUPPLIES) LTD	5298.50	3429
MICHAEL BAISTER PHOTOGRAPHY	1997.50	3430
MICHAEL FARWELL	1950	3431
MICHAEL J MCALLISTER TAXIS	12302.80	3432
MICHAEL LEWIN SOLICITORS LTD	7452.98	3433
MICHAEL LINNELL & BARKING	160.68	3434
MICHAEL TIDD	805.20	3435
MICHAELS CIVIC ROBES	155.50	3436
MICHELLE FOWLER PHOTOGRAPHY LTD	1620	3437
MICONEX	50959.27	3438
MICRO COMPUTER CONSULTANTS	5237.50	3439
MICROSOFT IRELAND OPERATIONS LTD	7727.93	3440
MIDDLESBROUGH COUNCIL	32508.88	3441
MIDDLESEX UNIVERSITY SERVICES LTD	100	3442
MIDLAND FURNITURE COMPANY	3000	3443
MIDLAND HOTEL	83.33	3444
MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST	389	3445
MIDNIGHT MANGO LTD	2750	3446
MIDSHIRE CARE LTD T/A HELPING HANDS	25011	3447
MIELE COMPANY LTD	448.53	3448
MIELE FINANCE DEPT	208.93	3449
MIKE ROGERSON ESTATE AGENTS LTD	1000	3450
MIKE SEWELL	480	3451
MIKE SMITH  GUITAR/BASS TUITION	725	3452
MIKE WATERFIELD	416	3453
MILBURN SERVICES LTD [GROUPED]	1965	3454
MILBURY  CARE  SERVICES	1013085	3455
MILL GARAGES VOLVO NORTH EAST	537	3456
MILLENNIUM & COPTHORNE HOTELS	183.96	3457
MILLER & CARTER	76.96	3458
MILLETS	130.99	3459
MILLS & CO	2300	3460
MILLSTONES LTD [GROUPED]	18.85	3461
MILLWOOD EDUCATION LTD	38.95	3462
MILTON MANCHESTER HOTEL	78.33	3463
MIMEO	9604.46	3464
MIMIS ICE CREAM	29.75	3465
MIND	38123	3466
MIND SPORTS WORLD	300	3467
MINERVA SIPP	60698.80	3468
MINT BUSINESS CLUB	4800	3469
MIRROR GROUP NEWSPAPERS	250	3470
MIS ENVIRONMENTAL LTD	49080	3471
MISCO COMPUTER SUPPLIES LTD	4311.01	3472
MISS ABBIE CRESSWELL	4107	3473
MISS AMANDA SEHAT	1875	3474
MISS CARLY HENLEY	12970	3475
MISS CATHERINE FAGAN	22940	3476
MISS CLAIRE GIBSON	13450	3477
MISS FENELLA MORRIS	2374	3478
MISS GRACE MORTON	250	3479
MISS JOHANNA DARBY	5725	3480
MISS KAREN LENNON	550	3481
MISS KATHERINE WOOD	2700	3482
MISS MARISA LLOYD	5700	3483
MISS MARY & THE MR RIGHTS	300	3484
MISS NAFEESA CHOUDHURY	1200	3485
MISS NATALIA LEVINE	595	3486
