YOUTH JUSTICE BOARD	131282	4951
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST	1855.18	4939
YORK DUNGEONS	59.04	4937
YOUR VOICE COUNTS	40485.75	4949
YOU GARDEN	54.54	4944
YOUTH SPORT DIRECT LTD [GROUPED]	3550	4953
YOUTH FOCUS:NORTH EAST	32825	4950
YARWOOD AND STUBLEY	3694.5	4930
YOUR PRINT DEPARTMENT	6091.31	4948
YORKSHIRE PURCHASING ORGANISATION	16027.89	4942
YORK ST JOHN UNIVERSITY	583	4938
YLM PAT TESTING	527.7	4933
YOUR MOVE	1675	4947
YORK UNIVERSITY	2295.51	4940
YORKSHIRE CARE EQUIPMENT	22310	4941
YELLOW MOON UK LTD	14.12	4931
YORKSHIRE TRADING	164.81	4943
YOUNG PROGRAMME EVENTS LTD	1150	4946
YOUNG MINDS	400	4945
YOUTH OFFENDING TEAM	2456.48	4952
YMCA SUNDERLAND	3657.19	4936
THE YORKSHIRE LINEN CO	192.18	4403
YMCA	133.31	4934
YMCA NORTH TYNESIDE	356311.95	4935
YESSS ELECTRICAL	39.47	4932
