F & G Commercials Ltd	11275.47	3735
F & J Exports Ltd	3462.45	3736
F Bamford Engineering Ltd	6654	3737
F Habib For Sami & Hashim Habib	2270.72	3738
F Maloney T/A Insight Northwest	2025	3739
F Moloney T/A Insight North West	3375	3740
F P Executive Agency Ltd	9355.20	3741
F Parkinson Ltd	283895.81	3742
F Parks Construction	10000	3743
F R Sharrock Ltd	150000	3744
F W Sherratt Ltd	97908.94	3745
F. Bamford (Engineering) Ltd	6912	3746
F. R. Sharrock Ltd [GROUPED]	896556.51	3747
F2R Group Ltd [GROUPED]	50000	3748
FC United	4152	3749
FCC (Leeds) Ltd	577.09	3750
Fab Travel Ltd	1595951.45	3751
Faber Blinds Uk Ltd	16243.62	3752
Fabrikat (Nott) Ltd	17698.82	3753
Factors And Co Ltd	10000	3754
Facultatieve Technologies Ltd	1359388.50	3755
Facultative Technologies Ltd	3252.15	3756
Fade Zone Style	20648.36	3757
Fagan Jones Communications Ltd	20000	3758
Fair Fisheries	8862.16	3759
Fairbridge	4250	3760
Fairbridge In Greater Manchester	6585	3761
Fairfield Care Ltd	248999.82	3762
Fairfield Residential	1039730.73	3763
Fairfield View Care Centre Ltd	32200.23	3764
Fairhaven Lodge Care Home	1152	3765
Fairhills Playgroup	181576.20	3766
Fairhills Playgroup Pre-School	414371.34	3767
Fairhome Care Group  Ltd	64090.04	3768
Fairhome Care Group Ltd	9963.72	3769
Fairhome Nursing Home	117517.16	3770
Fairtrade Imports (Uk) Ltd	10000	3771
Fairtrade Properties Ltd	19047.45	3772
Fairtrade Wholesale (Uk) Ltd	12000	3773
Fairview Hotels ( Manchester )	21864	3774
Fairview Hotels ( Manchester ) Limi	29400	3775
Fairview Hotels ( Manchester ) Ltd	14035.71	3776
Fairway Ma Ltd [GROUPED]	10000	3777
Fairways Residential Home	85140.23	3778
Fairwinds	346125.37	3779
Fairwoods Solicitors Ltd	11297	3780
Faith And Sons Ltd [GROUPED]	10000	3781
Faith Network 4 Manchester	797.50	3782
Faiths Florist	2667	3783
Falco Uk Ltd	38400	3784
Famasa Group Ltd	15315.36	3785
Famevalley Ltd	660.71	3786
Families Work Ltd	1020	3787
Family Child Care Ltd	248671.43	3788
Family Convenience Store Ltd [GROUPED]	10000	3789
Family Futures Cic	70050	3790
Family Rights Group	4800	3791
Fandangle Furniture Redesign	8692	3792
Fandangle Furniture Redesign Limite	15334	3793
Fantastic Fireworks	18687.60	3794
Farai Investment Properties Ltd	34083.86	3795
Farefence Ltd	10000	3796
Farg Ltd	2532.18	3797
Farleys Solicitors	49668	3798
Farmers Cottage Lamps Ltd	2495	3799
Farnell Internet	1957.20	3800
Farnham Electrical Distributors Ltd	47700.36	3801
Farnworth And Walkden Band	21015	3802
Farnworth Care Home	543748.98	3803
Farrer & Co Solictors	8027.27	3804
Fashion At Work	1058.88	3805
Fashion Awareness Direct	3500	3806
Fast And Co Uk Ltd [GROUPED]	63899.71	3807
Fast Hire Uk (Ltd)	5188.18	3808
Fast Kebab Mcr Ltd	10000	3809
Faster Than A Cat	142832.49	3810
Fastpay Ltd	10000	3811
Fastrans Express Ltd [GROUPED]	10000	3812
Fat Grass Ltd	2084.75	3813
Fat Out Productions	3500	3814
Fat Out Productions Ltd	2250	3815
Father Fox Ltd	10000	3816
Faversham House Nursing Home	15798.40	3817
Faye Cheetham	750.75	3818
Fbc Manby Bowdler Llp	17000	3819
Fc Reporting Ltd	10000	3820
Fcim Iba Recoveries	8451.55	3821
Fcs Management Services Ltd [GROUPED]	10000	3822
