Z Card Ltd	2077	11085
Z S Accountants Ltd	7000	11086
Z-Arts	2904	11087
Zafrani Take Away Ltd	10000	11088
Zain Property Ltd [GROUPED]	10000	11089
Zamir Ltd	10000	11090
Zara Perfumery Ltd	10000	11091
Zebra Training Services Ltd	3396	11092
Zecol Ltd T/A Trof	1026	11093
Zemap Ltd	2400	11094
Zemmel Chemist	7041.79	11095
Zen Office Ltd [GROUPED]	708	11096
Zentek  Forensics Ltd	522	11097
Zero Six	27703.72	11098
Zest Legal	25273	11099
Zest Property Ltd	10000	11100
Zeus Capital	125590	11101
Zg Lighting (Uk) Ltd	840.43	11102
Zhong Di Ltd [GROUPED]	10000	11103
Zig Zag Venures	503	11104
Zila Grosz	33177.44	11105
Zion Arts Centre Ltd	1116	11106
Zipporah Ltd	198036	11107
Zisse Kinder Ltd	55401.99	11108
Zoe Lodrick Ltd	9720	11109
Zohar Kosher Ltd [GROUPED]	10000	11110
Zoltrade Ltd	1352	11111
Zoneoftech Ltd	10000	11112
Zoom.Gbp	1151.04	11113
Zous Monton Ltd [GROUPED]	10000	11114
Zuf Food Stores Ltd [GROUPED]	10000	11115
Zuma Media Ltd	3600	11116
Zumamedia Ltd [GROUPED]	1000	11117
Zurich Assurance Ltd	1057226.42	11118
Zurich Insurance	2964	11119
Zurich Insurance Company	354587.83	11120
Zurich Insurance Company (Uk) Ltd	12793.40	11121
Zurich Municipal	282681.66	11122
Zymurgorium Ltd	30000	11123
